formula,reduced_formula,solubility_0C,solubility_10C,solubility_20C,solubility_25C,solubility_30C,solubility_40C,solubility_50C,solubility_60C,solubility_70C,solubility_80C,solubility_90C,solubility_100C
BaBr2,BaBr2,9.084e+01,9.417e+01,9.802e+01,1.000e+02,1.016e+02,1.058e+02,1.105e+02,1.150e+02,1.198e+02,1.247e+02,1.304e+02,1.358e+02
BaCO3,BaCO3,,,,1.705e-02,,,,,,,,
BaCl2,BaCl2,3.038e+01,3.312e+01,3.574e+01,3.704e+01,3.831e+01,4.085e+01,4.341e+01,4.605e+01,4.883e+01,5.184e+01,5.513e+01,5.886e+01
BaCrO4,BaCrO4,,,,7.805e-03,,,,,,,,
BaF2,BaF2,,1.600e-01,,1.600e-01,,,,,,,,
BaI2,BaI2,1.667e+02,1.833e+02,2.058e+02,2.205e+02,2.236e+02,2.279e+02,2.344e+02,2.413e+02,2.484e+02,2.571e+02,2.663e+02,2.759e+02
BaMoO4,BaMoO4,,,,6.149e-02,,,,,,,,
BaS,BaS,2.870e+00,5.020e+00,7.490e+00,8.940e+00,1.060e+01,1.451e+01,1.930e+01,2.508e+01,3.191e+01,3.996e+01,4.934e+01,6.028e+01
BaSO3,BaSO3,,,,0.000e+00,,,,,,,,
BaSO4,BaSO4,,,,7.002e-03,,,,,,,,
BaSeO4,BaSeO4,,,,5.720e-02,,,,,,,,
Be(ClO4)2,Be(ClO4)2,,,,1.469e+02,,,,,,,,
Be(OH)2,Be(HO)2,,,,2.397e-07,,,,,,,,
BeCl2,BeCl2,6.807e+01,,,7.153e+01,,,,,,,,
BeSO4,BeSO4,3.641e+01,3.808e+01,4.008e+01,4.128e+01,4.265e+01,4.601e+01,5.013e+01,5.504e+01,6.072e+01,6.725e+01,7.458e+01,8.275e+01
BiAsO4,BiAsO4,,,,7.002e-02,,,,,,,,
BiI3,BiI3,,,,7.666e-04,,,,,,,,
Ca(ClO3)2,Ca(ClO3)2,1.717e+02,1.793e+02,1.899e+02,1.967e+02,2.049e+02,2.226e+02,2.448e+02,2.731e+02,3.082e+02,3.425e+02,3.484e+02,3.546e+02
