compound,formula,reduced_formula,ksp_25C
neodymium carbonate,Nd2(CO3)3,Nd2(CO3)3,1.080e-33
nickel(ii) carbonate,NiCO3,NiCO3,1.420e-07
nickel(ii) hydroxide,Ni(OH)2,Ni(HO)2,5.480e-16
nickel(ii) iodate,Ni(IO3)2,Ni(IO3)2,4.710e-05
nickel(ii) phosphate,Ni3(PO4)2,Ni3(PO4)2,4.740e-32
palladium(ii) thiocyanate,Pd(SCN)2,PdC2(SN)2,4.390e-23
potassium hexachloroplatinate,K2PtCl6,K2PtCl6,7.480e-06
potassium perchlorate,KClO4,KClO4,1.050e-02
potassium periodate,KIO4,KIO4,3.710e-04
praseodymium hydroxide,Pr(OH)3,Pr(HO)3,3.390e-24
radium iodate,Ra(IO3),RaIO3,1.160e-09
radium sulfate,RaSO4,RaSO4,3.660e-11
rubidium perchlorate,RbClO4,RbClO4,3.000e-03
scandium fluoride,ScF3,ScF3,5.810e-24
scandium hydroxide,Sc(OH)3,Sc(HO)3,2.220e-31
silver(i) acetate,AgCH3COO,AgH3(CO)2,1.940e-03
silver(i) arsenate,Ag3AsO4,Ag3AsO4,1.030e-22
silver(i) bromate,AgBrO3,AgBrO3,5.380e-05
silver(i) bromide,AgBr,AgBr,5.350e-13
silver(i) carbonate,Ag2CO3,Ag2CO3,8.460e-12
silver(i) chloride,AgCl,AgCl,1.770e-10
silver(i) chromate,Ag2CrO4,Cr(AgO2)2,1.120e-12
silver(i) cyanide,AgCN,AgCN,5.970e-17
silver(i) iodate,AgIO3,AgIO3,3.170e-08
silver(i) iodide,AgI,AgI,8.520e-17
silver(i) oxalate,Ag2C2O4,AgCO2,5.400e-12
silver(i) phosphate,Ag3PO4,Ag3PO4,8.890e-17
silver(i) sulfate,Ag2SO4,Ag2SO4,1.200e-05
silver(i) sulfite,Ag2SO3,Ag2SO3,1.500e-14
silver(i) thiocyanate,AgSCN,AgCSN,1.030e-12
strontium arsenate,Sr3(AsO4)2,Sr3(AsO4)2,4.290e-19
strontium carbonate,SrCO3,SrCO3,5.600e-10
strontium fluoride,SrF2,SrF2,4.330e-09
strontium iodate,Sr(IO3)2,Sr(IO3)2,1.140e-07
strontium iodate monohydrate,Sr(IO3)2(H2O),SrH2I2O7,3.770e-07
strontium iodate hexahydrate,Sr(IO3)2(H2O)6,SrH12(IO6)2,4.550e-07
strontium sulfate,SrSO4,SrSO4,3.440e-07
thallium(i) bromate,TlBrO3,TlBrO3,1.100e-04
thallium(i) bromide,TlBr,TlBr,3.710e-06
thallium(i) chloride,TlCl,TlCl,1.860e-04
thallium(i) chromate,Tl2CrO4,Tl2CrO4,8.670e-13
thallium(i) iodate,TlIO3,TlIO3,3.120e-06
thallium(i) iodide,TlI,TlI,5.540e-08
thallium(i) thiocyanate,TlSCN,TlCSN,1.570e-04
thallium(iii) hydroxide,Tl(OH)3,Tl(HO)3,1.680e-44
tin(ii) hydroxide,Sn(OH)2,Sn(HO)2,5.450e-27
yttrium carbonate,Y2(CO3)3,Y2(CO3)3,1.030e-31
yttrium fluoride,YF3,YF3,8.620e-21
yttrium hydroxide,Y(OH)3,Y(HO)3,1.000e-22
yttrium iodate,Y(IO3)3,Y(IO3)3,1.120e-10
zinc arsenate,Zn3(AsO4)2,Zn3(AsO4)2,2.800e-28
zinc carbonate,ZnCO3,ZnCO3,1.460e-10
zinc carbonate monohydrate,ZnCO3(H2O),ZnH2CO4,5.420e-11
zinc fluoride,ZnF2,ZnF2,3.040e-02
zinc hydroxide,Zn(OH)2,Zn(HO)2,3.000e-17
zinc iodate dihydrate,Zn(IO3)2(H2O)2,ZnH4(IO4)2,4.100e-06
zinc oxalate dihydrate,ZnC2O4(H2O)2,ZnH4(CO3)2,1.380e-09
zinc selenide,ZnSe,ZnSe,3.600e-26
zinc selenite monohydrate,ZnSeO3(H2O),ZnH2SeO4,1.590e-07
