compound,formula,reduced_formula,ksp_25C
potassium hexachloroplatinate,K2PtCl6,K2PtCl6,7.48e-06
potassium perchlorate,KClO4,KClO4,1.05e-02
potassium periodate,KIO4,KIO4,3.71e-04
praseodymium hydroxide,Pr(OH)3,Pr(HO)3,3.39e-24
radium iodate,Ra(IO3),RaIO3,1.16e-09
radium sulfate,RaSO4,RaSO4,3.66e-11
rubidium perchlorate,RbClO4,RbClO4,3.00e-03
scandium fluoride,ScF3,ScF3,5.81e-24
scandium hydroxide,Sc(OH)3,Sc(HO)3,2.22e-31
silver(i) acetate,AgCH3COO,AgH3(CO)2,1.94e-03
silver(i) arsenate,Ag3AsO4,Ag3AsO4,1.03e-22
silver(i) bromate,AgBrO3,AgBrO3,5.38e-05
silver(i) bromide,AgBr,AgBr,5.35e-13
silver(i) carbonate,Ag2CO3,Ag2CO3,8.46e-12
silver(i) chloride,AgCl,AgCl,1.77e-10
silver(i) chromate,Ag2CrO4,Cr(AgO2)2,1.12e-12
silver(i) cyanide,AgCN,AgCN,5.97e-17
silver(i) iodate,AgIO3,AgIO3,3.17e-08
silver(i) iodide,AgI,AgI,8.52e-17
silver(i) oxalate,Ag2C2O4,AgCO2,5.40e-12
silver(i) phosphate,Ag3PO4,Ag3PO4,8.89e-17
silver(i) sulfate,Ag2SO4,Ag2SO4,1.20e-05
silver(i) sulfite,Ag2SO3,Ag2SO3,1.50e-14
silver(i) thiocyanate,AgSCN,AgCSN,1.03e-12
strontium arsenate,Sr3(AsO4)2,Sr3(AsO4)2,4.29e-19
strontium carbonate,SrCO3,SrCO3,5.60e-10
strontium fluoride,SrF2,SrF2,4.33e-09
strontium iodate,Sr(IO3)2,Sr(IO3)2,1.14e-07
strontium iodate monohydrate,Sr(IO3)2(H2O),SrH2I2O7,3.77e-07
strontium iodate hexahydrate,Sr(IO3)2(H2O)6,SrH12(IO6)2,4.55e-07
strontium sulfate,SrSO4,SrSO4,3.44e-07
thallium(i) bromate,TlBrO3,TlBrO3,1.10e-04
thallium(i) bromide,TlBr,TlBr,3.71e-06
thallium(i) chloride,TlCl,TlCl,1.86e-04
thallium(i) chromate,Tl2CrO4,Tl2CrO4,8.67e-13
thallium(i) iodate,TlIO3,TlIO3,3.12e-06
thallium(i) iodide,TlI,TlI,5.54e-08
thallium(i) thiocyanate,TlSCN,TlCSN,1.57e-04
thallium(iii) hydroxide,Tl(OH)3,Tl(HO)3,1.68e-44
tin(ii) hydroxide,Sn(OH)2,Sn(HO)2,5.45e-27
yttrium carbonate,Y2(CO3)3,Y2(CO3)3,1.03e-31
yttrium fluoride,YF3,YF3,8.62e-21
yttrium hydroxide,Y(OH)3,Y(HO)3,1.00e-22
yttrium iodate,Y(IO3)3,Y(IO3)3,1.12e-10
zinc arsenate,Zn3(AsO4)2,Zn3(AsO4)2,2.80e-28
zinc carbonate,ZnCO3,ZnCO3,1.46e-10
zinc carbonate monohydrate,ZnCO3(H2O),ZnH2CO4,5.42e-11
zinc fluoride,ZnF2,ZnF2,3.04e-02
zinc hydroxide,Zn(OH)2,Zn(HO)2,3.00e-17
zinc iodate dihydrate,Zn(IO3)2(H2O)2,ZnH4(IO4)2,4.10e-06
zinc oxalate dihydrate,ZnC2O4(H2O)2,ZnH4(CO3)2,1.38e-09
zinc selenide,ZnSe,ZnSe,3.60e-26
zinc selenite monohydrate,ZnSeO3(H2O),ZnH2SeO4,1.59e-07
