formula,reduced_formula,solubility_0C,solubility_10C,solubility_20C,solubility_25C,solubility_30C,solubility_40C,solubility_50C,solubility_60C,solubility_70C,solubility_80C,solubility_90C,solubility_100C
CdSeO4,CdSeO4,72.5328,68.3218,63.9882,61.7599,59.4642,54.679,49.5886,44.1961,38.5809,32.7845,26.968,21.1974
Ce(NO3)3,Ce(NO3)3,138.0386,148.7562,162.3983,170.636,180.1905,203.0303,218.4713,246.0208,298.4064,380.7692,423.5602,491.716
CoCl2,CoCl2,43.472,48.368,53.5391,56.2256,58.9825,64.6633,70.5902,76.8659,83.4862,90.5125,98.059,106.1856
Co(ClO4)2,Co(ClO4)2,100.0,,,112.766,,,,,,,,
CoF2,CoF2,,,,1.4199,,,,,,,,
CoI2,CoI2,138.0952,161.6431,188.6003,202.9385,217.5611,246.8609,276.0812,304.6945,332.7131,360.4052,388.2812,418.1347
Co(NO2)2,Co(NO2)2,0.0761,,,0.4924,,,,,,,,
Co(NO3)2,Co(NO3)2,83.4862,88.6792,97.6285,103.252,110.084,127.2727,150.6266,167.3797,184.9003,209.5975,,
CoSO4,CoSO4,24.8439,29.8701,35.318,38.3126,41.2429,47.7105,52.439,56.0062,55.0388,49.7006,44.0922,38.5042
Co(SCN)2,CoC2(SN)2,,,,102.8398,,,,,,,,
CrO3,CrO3,164.5503,165.252,167.3797,168.8172,170.2703,173.9726,178.5515,183.2861,189.8551,195.858,203.9514,211.5265
CsBr,CsBr,,,,123.2143,,,,,,,,
CsBrO3,CsBrO3,1.1736,1.968,3.1034,3.8314,4.6682,6.7464,9.4092,12.765,16.8907,21.8918,27.9263,35.0986
CsCl,CsCl,161.9859,173.8226,185.3881,191.0361,196.6479,207.6923,218.4713,229.0556,239.4433,249.6503,259.8417,269.8225
CsClO3,CsClO3,2.459,4.0258,6.3151,7.7818,9.517,13.8304,19.5172,26.807,35.9619,47.2754,61.0047,76.7409
CsClO4,CsClO4,0.7963,1.0203,1.5332,1.9992,2.6378,4.4714,7.0091,10.2414,14.1683,18.7648,24.0541,29.9883
CsI,CsI,44.7178,59.2357,76.0563,84.8429,94.5525,114.1328,134.192,154.4529,174.7253,193.2551,209.5975,224.6753
CsIO3,CsIO3,1.0918,1.6054,2.2599,2.6589,3.114,4.1233,5.3297,6.7122,8.3424,10.1322,12.0951,14.2204
CsNO3,CsNO3,9.2419,14.9425,22.8501,27.8772,33.5113,47.0588,63.9344,84.1621,107.9002,134.192,163.8522,195.858
CsOH,CsHO,,,,,300.0,,,,,,,
