formula,reduced_formula,solubility_0C,solubility_10C,solubility_20C,solubility_25C,solubility_30C,solubility_40C,solubility_50C,solubility_60C,solubility_70C,solubility_80C,solubility_90C,solubility_100C
Pr(NO3)3,Pr(NO3)3,135.29,145.1,157.47,164.83,173.22,191.55,210.56,235.57,275.94,,,
RbBr,RbBr,90.11,100.4,110.97,116.45,121.73,132.56,142.72,153.81,163.85,173.97,184.09,193.26
RbBrO3,RbBrO3,0.98,1.57,2.42,2.95,3.57,5.12,7.11,9.63,12.73,16.48,20.95,26.2
RbCl,RbCl,77.24,83.99,90.59,93.87,97.12,103.5,109.82,115.84,121.83,127.69,133.43,138.95
RbClO3,RbClO3,2.15,3.5,5.42,6.63,8.05,11.54,16.08,21.85,29.08,38.06,49.16,62.87
RbClO4,RbClO4,1.01,,,1.52,,,,,,,,20.48
RbF,RbF,,,300.0,,,,,,,,,
RbHCO3,RbHCO3,,,115.98,,,,,,,,,
RbI,RbI,126.24,141.55,157.07,165.25,173.22,189.02,204.88,220.51,236.7,252.11,266.3,281.68
RbIO3,RbIO3,1.1,1.55,2.11,2.44,2.82,3.65,4.61,5.73,6.97,8.39,9.89,11.56
RbNO3,RbNO3,19.62,33.33,52.91,65.02,79.21,113.22,155.1,204.88,259.71,318.41,376.19,431.91
RbOH,RbHO,,,,,173.22,,,,,,,
Rb2CrO4,Rb2CrO4,62.0,,,76.24,,,,,,,,
Rb2SO4,Rb2SO4,37.55,42.86,48.15,50.83,53.37,58.48,63.13,67.5,71.82,75.44,78.89,81.49
SbCl3,SbCl3,599.3,,,986.96,,,,,,,,
SbF3,SbF3,385.44,,,491.72,,,,,,,,
Sc(NO3)3,Sc(NO3)3,132.56,145.7,160.42,168.82,177.01,195.86,217.46,,,,,
Sm(NO3)3,Sm(NO3)3,121.39,128.99,138.55,144.2,150.5,165.82,186.12,213.48,242.47,287.6,,
SmCl3,SmCl3,,92.31,93.05,93.8,94.55,96.85,100.0,,,,,
SnCl2,SnCl2,85.19,177.78,,,,,,,,,,
SnI2,SnI2,,,0.98,,,,,,,,,4.03
SrBr2,SrBr2,85.19,93.42,102.43,107.04,112.31,123.21,135.85,149.38,165.25,182.49,201.2,222.58
Sr(BrO3)2,Sr(BrO3)2,22.74,28.21,34.03,37.02,40.04,46.09,52.0,57.65,62.97,67.22,68.92,69.49
SrCl2,SrCl2,46.93,49.1,52.51,54.73,57.31,63.75,72.24,83.28,88.01,91.17,94.93,99.48
Sr(ClO2)2,Sr(ClO2)2,14.94,15.74,16.41,16.69,16.96,17.51,18.06,18.48,18.91,,,
Sr(ClO3)2,Sr(ClO3)2,172.41,173.37,175.03,176.01,177.24,180.03,183.29,187.03,191.12,195.68,200.66,205.9
Sr(ClO4)2,Sr(ClO4)2,233.78,,,305.68,,363.82,,,,,,
SrF2,SrF2,0.01,,,0.02,,,,,,,,
SrI2,SrI2,166.67,168.82,173.97,177.01,181.69,192.4,205.81,222.58,242.47,266.3,295.26,380.77
Sr(IO3)2,Sr(IO3)2,0.1,0.13,0.15,0.17,0.18,0.21,0.23,0.26,0.28,0.31,0.33,0.35
Sr(MnO4)2,SrMn2O8,2.56,,,,,,,,,,,
Sr(NO2)2,Sr(NO2)2,,,,,72.12,79.53,,,,,,141.55
Sr(NO3)2,Sr(NO3)2,39.28,52.91,69.49,80.18,88.68,90.11,91.94,93.8,95.69,98.02,100.4,102.84
Sr(OH)2,Sr(HO)2,0.91,,,2.25,,,,,,,,
SrSO3,SrSO3,,,,0.0,,,,,,,,
SrSO4,SrSO4,,,,0.01,,,,,,,,
SrS2O3,SrS2O3,9.65,15.21,21.51,25.0,28.53,36.61,,,,,,
Tb(NO3)3,Tb(NO3)3,,,153.81,156.54,,,,,,,,
Tl2SO4,Tl2SO4,2.72,3.69,4.83,5.47,6.16,7.63,9.24,10.98,12.78,14.64,16.52,18.39
Tm(NO3)3,Tm(NO3)3,,,,211.53,,,,,,,,
UO2(NO3)2,U(NO4)2,98.1,107.56,119.39,126.5,135.57,160.35,203.67,,,,,
Y(NO3)3,Y(NO3)3,125.07,132.18,142.42,149.13,157.14,172.48,184.9,211.53,263.64,,,
Yb(NO3)3,Yb(NO3)3,,,,238.98,,,,,,,,
ZnBr2,ZnBr2,383.09,402.51,449.45,488.24,528.93,594.44,604.23,619.42,629.93,646.27,657.58,675.19
ZnC2O4,Zn(CO2)2,,0.0,0.0,0.0,,,,,,,,
ZnCl2,ZnCl2,,327.35,376.19,407.61,437.63,449.45,468.18,488.24,513.5,541.03,575.68,614.29
Zn(ClO4)2,Zn(ClO4)2,79.5,,,86.12,,,94.93,,,,,
ZnF2,ZnF2,,,,1.55,,,,,,,,
ZnI2,ZnI2,429.1,431.91,434.76,437.63,440.54,446.45,455.56,464.97,474.71,488.24,498.8,513.5
Zn(IO3)2,Zn(IO3)2,,,0.58,0.64,0.69,0.78,0.83,,,,,
Zn(NO3)2,Zn(NO3)2,91.57,103.25,119.3,120.26,140.96,378.47,402.51,700.0,890.1,,,
ZnSO3,ZnSO3,,,0.18,0.18,0.18,0.18,0.18,,,,,
ZnSO4,ZnSO4,41.04,47.06,53.85,57.73,61.81,70.36,75.44,72.71,69.49,66.39,63.4,60.26
ZnSeO4,ZnSeO4,49.39,53.8,59.69,63.37,67.62,,,,,,,
